nativePermissions	owner	group	size	lastModified	path	type						
-----------------	------	------	---------	--------------------	-----------------------------------------------------------------------------------------	----					forward	reverse
rw-r--r--	816290	803419	136100736	2025-04-03T18:57:52Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4599_S16_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4599_S16_L001_R2_001.fastq.gz	4675_S30_L001_R1_001.fastq.gz	4675_S30_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	118077422	2025-05-16T03:56:18Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4600_S34_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4600_S34_L001_R1_001.fastq.gz	4677_S35_L001_R1_001.fastq.gz	4677_S35_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	125051637	2025-05-16T03:56:24Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4600_S34_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4600_S34_L001_R2_001.fastq.gz	4678_S39_L001_R1_001.fastq.gz	4678_S39_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	110167076	2025-04-03T18:58:01Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4603_S43_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4603_S43_L001_R1_001.fastq.gz	4680_S18_L001_R1_001.fastq.gz	4680_S18_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	116863340	2025-04-03T18:58:12Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4603_S43_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4603_S43_L001_R2_001.fastq.gz	4683_S8_L001_R1_001.fastq.gz	4683_S8_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	63321914	2025-05-16T03:19:48Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4605_S38_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4605_S38_R1_001.fastq.gz	4694_S31_L001_R1_001.fastq.gz	4694_S31_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	56499596	2025-05-16T03:19:55Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4605_S38_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4605_S38_R2_001.fastq.gz	4700_S5_L001_R1_001.fastq.gz	4700_S5_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	60347980	2025-05-27T20:12:20Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4613_S49_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4613_S49_R1_001.fastq.gz	4703_S32_L001_R1_001.fastq.gz	4703_S32_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	49934809	2025-05-27T20:12:24Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4613_S49_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4613_S49_R2_001.fastq.gz	4705_S33_L001_R1_001.fastq.gz	4705_S33_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	110350390	2025-04-03T18:58:26Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4615_S2_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4615_S2_L001_R1_001.fastq.gz	4708_S13_L001_R1_001.fastq.gz	4708_S13_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	116026920	2025-04-03T18:58:36Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4615_S2_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4615_S2_L001_R2_001.fastq.gz	4714_S34_L001_R1_001.fastq.gz	4714_S34_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	57332645	2025-05-27T20:12:30Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4618_S50_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4618_S50_R1_001.fastq.gz	4720_S6_L001_R1_001.fastq.gz	4720_S6_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	51370638	2025-05-27T20:12:33Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4618_S50_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4618_S50_R2_001.fastq.gz	4721_S9_L001_R1_001.fastq.gz	4721_S9_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	64463097	2025-05-16T03:20:04Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4621_S26_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4621_S26_R1_001.fastq.gz	4725_S7_L001_R1_001.fastq.gz	4725_S7_L001_R2_001.fastq.gz
