repertoire_id	level	mode	productive	combo	v_level	j_level	sequence_count	duplicate_count	sequence_frequency	duplicate_frequency
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-59*08|IGHJ6*02	IGHV4-59*08	IGHJ6*02	56	103	0.0057684384013185	0.006179505639548836
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-18*04|IGHJ6*03	IGHV1-18*04	IGHJ6*03	279	580	0.028739184177997527	0.03479721622270218
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-18*01|IGHJ6*03	IGHV1-18*01	IGHJ6*03	25	25	0.0025751957148743305	0.001499880009599232
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-18*04|IGHJ6*02	IGHV1-18*04	IGHJ6*02	152	308	0.015657189946435928	0.018478521718262537
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-9*01|IGHJ6*02	IGHV3-9*01	IGHJ6*02	23	33	0.002369180057684384	0.0019798416126709864
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-9*01|IGHJ6*04	IGHV3-9*01	IGHJ6*04	1	1	0.00010300782859497322	5.999520038396928e-05
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-23*03|IGHJ6*02	IGHV3-23*03	IGHJ6*02	2	2	0.00020601565718994644	0.00011999040076793856
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV2-70*12|IGHJ4*02	IGHV2-70*12	IGHJ4*02	1	1	0.00010300782859497322	5.999520038396928e-05
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV2-26*01|IGHJ4*02	IGHV2-26*01	IGHJ4*02	52	110	0.005356407086938607	0.006599472042236621
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-71*01|IGHJ5*02	IGHV3-71*01	IGHJ5*02	1	1	0.00010300782859497322	5.999520038396928e-05
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-9*01|IGHJ4*02	IGHV3-9*01	IGHJ4*02	7	7	0.0007210548001648125	0.000419966402687785
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-46*01|IGHJ4*02	IGHV1-46*01	IGHJ4*02	36	69	0.003708281829419036	0.00413966882649388
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-11*04|IGHJ4*02	IGHV3-11*04	IGHJ4*02	2	2	0.00020601565718994644	0.00011999040076793856
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-24*01|IGHJ4*02	IGHV1-24*01	IGHJ4*02	12	16	0.0012360939431396785	0.0009599232061435085
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-64*04|IGHJ4*02	IGHV3-64*04	IGHJ4*02	18	18	0.001854140914709518	0.0010799136069114472
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-64D*06|IGHJ4*02	IGHV3-64D*06	IGHJ4*02	63	102	0.0064894932014833125	0.006119510439164867
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-64D*06|IGHJ4*01	IGHV3-64D*06	IGHJ4*01	1	1	0.00010300782859497322	5.999520038396928e-05
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-4*02|IGHJ5*02	IGHV4-4*02	IGHJ5*02	51	95	0.005253399258343634	0.005699544036477082
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-4*02|IGHJ4*02	IGHV4-4*02	IGHJ4*02	112	196	0.011536876802637	0.01175905927525798
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV5-10-1*04|IGHJ5*02	IGHV5-10-1*04	IGHJ5*02	2	2	0.00020601565718994644	0.00011999040076793856
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-66*03|IGHJ4*02	IGHV3-66*03	IGHJ4*02	6	6	0.0006180469715698393	0.0003599712023038157
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-74*01|IGHJ4*02	IGHV3-74*01	IGHJ4*02	222	382	0.022867737948084055	0.022918166546676267
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-74*03|IGHJ4*02	IGHV3-74*03	IGHJ4*02	88	150	0.009064688916357644	0.008999280057595392
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-7*01|IGHJ4*02	IGHV3-7*01	IGHJ4*02	9	9	0.000927070457354759	0.0005399568034557236
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV3-7*02|IGHJ4*02	IGHV3-7*02	IGHJ4*02	3	3	0.00030902348578491963	0.00017998560115190784
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-30-2*01|IGHJ4*02	IGHV4-30-2*01	IGHJ4*02	29	43	0.0029872270292542235	0.0025797936165106792
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-31*02|IGHJ4*02	IGHV4-31*02	IGHJ4*02	17	19	0.0017511330861145447	0.0011399088072954163
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-31*03|IGHJ4*02	IGHV4-31*03	IGHJ4*02	130	222	0.013391017717346519	0.01331893448524118
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-31*03|IGHJ5*02	IGHV4-31*03	IGHJ5*02	26	37	0.0026782035434693035	0.0022198224142068635
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-69*10|IGHJ4*02	IGHV1-69*10	IGHJ4*02	101	183	0.010403790688092295	0.010979121670266379
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-69*02|IGHJ4*02	IGHV1-69*02	IGHJ4*02	8	8	0.0008240626287597857	0.00047996160307175426
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-69*08|IGHJ4*02	IGHV1-69*08	IGHJ4*02	3	3	0.00030902348578491963	0.00017998560115190784
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-2*04|IGHJ4*02	IGHV1-2*04	IGHJ4*02	10	25	0.0010300782859497322	0.001499880009599232
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV1-2*02|IGHJ5*02	IGHV1-2*02	IGHJ5*02	1	5	0.00010300782859497322	0.0002999760019198464
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-38-2*02|IGHJ4*02	IGHV4-38-2*02	IGHJ4*02	51	66	0.005253399258343634	0.003959683225341973
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-38-2*01|IGHJ4*02	IGHV4-38-2*01	IGHJ4*02	6	6	0.0006180469715698393	0.0003599712023038157
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV4-38-2*02|IGHJ5*02	IGHV4-38-2*02	IGHJ5*02	31	48	0.00319324268644417	0.0028797696184305254
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV5-51*01|IGHJ4*02	IGHV5-51*01	IGHJ4*02	97	212	0.009991759373712402	0.012718982481401488
6530494888752124396-242ac114-0001-012	allele|allele	unique	FALSE	IGHV5-51*01|IGHJ5*02	IGHV5-51*01	IGHJ5*02	57	115	0.0058714462299134735	0.006899448044156467
